time,Policy,No Policy
05:15:00,13.63,12.43
05:30:00,16.12,13.65
05:45:00,13.65,12.31
06:00:00,16.12,15.63
06:15:00,21.73,19.65
06:30:00,21.7,20.13
06:45:00,26.93,24.25
07:00:00,25.13,20.58
07:15:00,42.8,43.61
07:30:00,50.33,45.16
07:45:00,45.61,43.85
08:00:00,45.65,49.29
08:15:00,51.59,47.8
08:30:00,59.57,53.73
08:45:00,52.74,58.58
09:00:00,55.56,59.01
09:15:00,45.65,44.61
09:30:00,38.06,31.81
09:45:00,36.65,35.31
10:00:00,39.46,37.06
10:15:00,41.78,24.07
10:30:00,44.8,25.82
10:45:00,36.02,26.56
11:00:00,32.58,27.29
11:15:00,27.78,24.18
11:30:00,26.3,25.85
11:45:00,29.09,22.09
12:00:00,22.76,26.23
12:15:00,24.18,24.49
12:30:00,30.29,21.93
12:45:00,63.32,25.53
13:00:00,25.68,26.84
13:15:00,21.82,27.63
13:30:00,27.36,23.28
13:45:00,26.47,24.63
14:00:00,28.92,25.39
14:15:00,23.79,23.99
14:30:00,27.54,25.02
14:45:00,27.59,25.07
15:00:00,28.17,23.49
15:15:00,24.9,25.88
15:30:00,25.41,25.57
15:45:00,23.58,20.96
16:00:00,25.14,20.85
16:15:00,29.07,29.39
16:30:00,31.95,26.5
16:45:00,34.42,29.42
17:00:00,30.54,31.54
17:15:00,35.02,27.39
17:30:00,31.93,36.72
17:45:00,30.88,35.26
18:00:00,39.73,28.23
18:15:00,37.9,31.25
18:30:00,39.04,30.09
18:45:00,35.28,30.37
19:00:00,38.58,34.76
19:15:00,19.05,23.23
19:30:00,17.96,20.26
19:45:00,19.56,19.58
20:00:00,19.71,20.32
20:15:00,25.25,20.57
20:30:00,22.7,22.51
20:45:00,17.88,21.55
21:00:00,25.12,21.5
,31.4925,28.46140625
